     (m),     (m),   (hPa),    (°C),     (%),(ug/m^3),(ug/m^3),(ug/m^3),   (m/s),     (°),     (K),    (°C),  (g/kg),  (g/kg),     (K),     (K),   (ppb),   (ppm),   (ppb),   (ppb),   (ppm),   (ppb),   (ppm)
     agl,     asl,       P,       T,      RH,     PM1,    PM25,    PM10,      ws,      wd,   theta,      Td,       q,    mixR,      Tv,  thetav,      O3,      CO,     SO2,     NO2,     NH3,     H2S,    TVOC
     2.5,    50.5, 1011.86,   17.37,   92.56,      28,      50,      62,    1.84,  282.00,  289.54,   16.15,   11.28,   11.41,  292.52,  291.53,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
     7.5,    55.5, 1011.20,   17.58,   91.80,      28,      51,      63,    1.79,  278.48,  289.80,   16.23,   11.34,   11.47,  292.74,  291.81,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    12.5,    60.5, 1010.59,   17.86,   90.78,      29,      52,      65,    1.69,  280.95,  290.14,   16.33,   11.42,   11.56,  293.04,  292.16,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    17.5,    65.5, 1010.05,   18.15,   89.76,      29,      52,      65,    1.56,  295.25,  290.47,   16.44,   11.51,   11.64,  293.34,  292.51,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    22.5,    70.5, 1009.41,   18.29,   89.24,      29,      52,      65,    1.49,  325.16,  290.67,   16.49,   11.55,   11.69,  293.50,  292.71,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    27.5,    75.5, 1008.87,   18.44,   88.73,      29,      51,      64,    1.56,  334.49,  290.86,   16.54,   11.60,   11.74,  293.65,  292.91,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    32.5,    80.5, 1008.26,   18.66,   87.97,      29,      50,      62,    1.68,  345.42,  291.13,   16.62,   11.67,   11.80,  293.89,  293.20,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    37.5,    85.5, 1007.76,   18.95,   86.97,      29,      49,      61,    2.03,    0.91,  291.46,   16.73,   11.75,   11.89,  294.20,  293.55,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    42.5,    90.5, 1007.16,   19.17,   86.24,      29,      49,      60,    2.19,    5.33,  291.72,   16.81,   11.82,   11.96,  294.43,  293.83,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    47.5,    95.5, 1006.58,   19.31,   85.78,      28,      48,      60,    2.25,    6.71,  291.91,   16.86,   11.87,   12.01,  294.58,  294.02,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    52.5,   100.5, 1006.00,   19.45,   85.33,      28,      48,      59,    2.31,    7.95,  292.10,   16.92,   11.91,   12.06,  294.72,  294.22,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    57.5,   105.5, 1005.46,   19.58,   84.90,      28,      48,      58,    2.37,    9.07,  292.27,   16.96,   11.96,   12.10,  294.86,  294.40,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    62.5,   110.5, 1004.77,   19.76,   84.31,      28,      48,      58,    2.52,   11.53,  292.51,   17.03,   12.02,   12.16,  295.06,  294.66,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    67.5,   115.5, 1004.12,   19.93,   83.76,      28,      47,      57,    2.66,   13.52,  292.73,   17.10,   12.07,   12.22,  295.24,  294.89,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    72.5,   120.5, 1003.69,   20.03,   83.43,      28,      47,      57,    2.72,   13.99,  292.87,   17.13,   12.11,   12.25,  295.35,  295.04,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    77.5,   125.5, 1003.05,   20.17,   82.99,      28,      47,      57,    2.81,   14.63,  293.06,   17.18,   12.15,   12.30,  295.49,  295.23,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    82.5,   130.5, 1002.41,   20.29,   82.60,      28,      47,      57,    2.89,   15.19,  293.23,   17.22,   12.19,   12.34,  295.62,  295.41,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
