     (m),     (m),   (hPa),    (°C),     (%),(ug/m^3),(ug/m^3),(ug/m^3),   (m/s),     (°),     (K),    (°C),  (g/kg),  (g/kg),     (K),     (K),   (ppb),   (ppm),   (ppb),   (ppb),   (ppm),   (ppb),   (ppm)
     agl,     asl,       P,       T,      RH,     PM1,    PM25,    PM10,      ws,      wd,   theta,      Td,       q,    mixR,      Tv,  thetav,      O3,      CO,     SO2,     NO2,     NH3,     H2S,    TVOC
     2.5,    50.5, 1014.29,   17.98,   77.50,      28,      48,      61,    2.45,   56.77,  289.95,   13.98,    9.79,    9.89,  292.87,  291.68,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
     7.5,    55.5, 1013.48,   17.84,   77.97,      29,      49,      62,    2.65,   39.82,  289.88,   13.94,    9.77,    9.87,  292.72,  291.60,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    12.5,    60.5, 1013.18,   17.65,   78.53,      27,      47,      61,    3.07,   27.66,  289.71,   13.87,    9.73,    9.82,  292.53,  291.43,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    17.5,    65.5, 1012.47,   17.55,   78.79,      26,      46,      61,    3.29,   27.10,  289.67,   13.82,    9.71,    9.80,  292.42,  291.39,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    22.5,    70.5, 1011.80,   17.51,   78.89,      26,      46,      61,    3.64,   21.06,  289.68,   13.80,    9.70,    9.79,  292.38,  291.40,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    27.5,    75.5, 1011.32,   17.46,   78.99,      26,      46,      61,    3.80,   20.10,  289.68,   13.78,    9.69,    9.78,  292.33,  291.39,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    32.5,    80.5, 1010.69,   17.43,   79.05,      26,      46,      61,    4.01,   20.64,  289.70,   13.76,    9.68,    9.78,  292.30,  291.41,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    37.5,    85.5, 1010.17,   17.40,   79.10,      26,      46,      61,    4.06,   20.32,  289.71,   13.74,    9.68,    9.77,  292.27,  291.42,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    42.5,    90.5, 1009.55,   17.36,   79.18,      26,      46,      61,    4.12,   19.85,  289.72,   13.72,    9.67,    9.76,  292.22,  291.43,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
