     (m),     (m),   (hPa),    (°C),     (%),(ug/m^3),(ug/m^3),(ug/m^3),   (m/s),     (°),     (K),    (°C),  (g/kg),  (g/kg),     (K),     (K),   (ppb),   (ppm),   (ppb),   (ppb),   (ppm),   (ppb),   (ppm)
     agl,     asl,       P,       T,      RH,     PM1,    PM25,    PM10,      ws,      wd,   theta,      Td,       q,    mixR,      Tv,  thetav,      O3,      CO,     SO2,     NO2,     NH3,     H2S,    TVOC
     2.5,    50.5, 1014.01,   17.60,   90.90,      29,      51,      64,    1.45,  168.28,  289.59,   16.09,   11.21,   11.34,  292.73,  291.57,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
     7.5,    55.5, 1013.14,   17.51,   91.93,      28,      48,      60,    1.14,  153.46,  289.57,   16.18,   11.28,   11.41,  292.66,  291.57,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    12.5,    60.5, 1012.77,   17.40,   92.90,      27,      48,      58,    1.32,   53.08,  289.49,   16.24,   11.33,   11.46,  292.56,  291.50,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    17.5,    65.5, 1012.20,   17.34,   93.31,      26,      47,      57,    1.62,   30.42,  289.48,   16.25,   11.34,   11.47,  292.50,  291.49,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    22.5,    70.5, 1011.52,   17.30,   93.56,      26,      47,      57,    1.91,   18.65,  289.50,   16.25,   11.35,   11.48,  292.46,  291.50,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    27.5,    75.5, 1011.00,   17.27,   93.69,      26,      47,      57,    2.06,   14.90,  289.52,   16.25,   11.36,   11.49,  292.43,  291.52,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    32.5,    80.5, 1010.39,   17.25,   93.81,      26,      47,      57,    2.20,   12.33,  289.54,   16.24,   11.36,   11.49,  292.41,  291.55,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    37.5,    85.5, 1009.78,   17.23,   93.90,      26,      47,      57,    2.34,   10.02,  289.57,   16.24,   11.36,   11.49,  292.39,  291.58,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    42.5,    90.5, 1009.16,   17.21,   93.98,      26,      47,      57,    2.49,    8.13,  289.60,   16.23,   11.37,   11.50,  292.37,  291.61,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    47.5,    95.5, 1008.52,   17.19,   94.05,      27,      48,      60,    2.71,    7.55,  289.64,   16.22,   11.37,   11.50,  292.35,  291.65,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    52.5,   100.5, 1008.09,   17.18,   94.08,      27,      50,      62,    2.88,    7.55,  289.66,   16.22,   11.37,   11.50,  292.34,  291.67,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    57.5,   105.5, 1007.45,   17.16,   94.11,      28,      51,      65,    3.10,    7.31,  289.70,   16.21,   11.37,   11.50,  292.33,  291.71,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    62.5,   110.5, 1006.81,   17.15,   94.13,      28,      51,      65,    3.29,    6.64,  289.74,   16.20,   11.37,   11.50,  292.31,  291.75,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    67.5,   115.5, 1006.26,   17.14,   94.14,      28,      51,      65,    3.41,    6.29,  289.78,   16.19,   11.37,   11.50,  292.31,  291.79,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    72.5,   120.5, 1005.59,   17.14,   94.14,      28,      51,      65,    3.86,    6.94,  289.82,   16.18,   11.37,   11.50,  292.30,  291.83,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    77.5,   125.5, 1005.06,   17.13,   94.12,      28,      51,      65,    4.16,    5.84,  289.86,   16.17,   11.37,   11.50,  292.29,  291.87,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    82.5,   130.5, 1004.28,   17.12,   94.10,      28,      51,      65,    4.67,    5.29,  289.91,   16.16,   11.37,   11.50,  292.28,  291.92,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    87.5,   135.5, 1003.93,   17.11,   94.08,      28,      51,      65,    4.83,    5.31,  289.94,   16.15,   11.37,   11.50,  292.27,  291.95,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    92.5,   140.5, 1003.58,   17.11,   94.05,      28,      51,      65,    4.99,    5.30,  289.96,   16.14,   11.36,   11.49,  292.27,  291.97,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    97.5,   145.5, 1002.91,   17.10,   94.02,      28,      51,      65,    5.30,    6.21,  290.01,   16.13,   11.36,   11.49,  292.26,  292.02,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   102.5,   150.5, 1002.14,   17.10,   93.96,      27,      49,      61,    5.46,    6.27,  290.07,   16.11,   11.36,   11.49,  292.26,  292.08,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   107.5,   155.5, 1001.49,   17.09,   93.89,      26,      46,      57,    5.61,    6.30,  290.12,   16.10,   11.36,   11.49,  292.25,  292.13,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   112.5,   160.5, 1001.07,   17.09,   93.84,      26,      46,      57,    5.67,    6.54,  290.15,   16.09,   11.36,   11.49,  292.25,  292.16,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   117.5,   165.5, 1000.43,   17.09,   93.75,      26,      46,      57,    5.75,    6.89,  290.20,   16.07,   11.35,   11.48,  292.25,  292.21,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   122.5,   170.5,  999.80,   17.09,   93.65,      26,      46,      57,    5.84,    7.21,  290.26,   16.06,   11.35,   11.48,  292.25,  292.27,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   127.5,   175.5,  999.37,   17.10,   93.57,      26,      46,      57,    5.89,    7.41,  290.30,   16.05,   11.35,   11.48,  292.26,  292.31,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   132.5,   180.5,  998.73,   17.11,   93.43,      26,      46,      57,    6.01,    7.70,  290.36,   16.04,   11.34,   11.47,  292.27,  292.37,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   137.5,   185.5,  998.06,   17.12,   93.28,      26,      46,      57,    6.20,    7.96,  290.43,   16.03,   11.34,   11.47,  292.28,  292.44,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   142.5,   190.5,  997.62,   17.14,   93.16,      26,      46,      57,    6.32,    8.11,  290.48,   16.02,   11.35,   11.48,  292.30,  292.49,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   147.5,   195.5,  996.96,   17.16,   92.97,      26,      46,      57,    6.53,    8.70,  290.57,   16.02,   11.35,   11.48,  292.32,  292.58,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   152.5,   200.5,  996.33,   17.20,   92.76,      26,      46,      57,    6.73,    9.22,  290.65,   16.01,   11.35,   11.48,  292.36,  292.66,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   157.5,   205.5,  995.75,   17.24,   92.53,      27,      49,      60,    7.15,    9.88,  290.74,   16.01,   11.36,   11.49,  292.40,  292.75,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   162.5,   210.5,  995.10,   17.28,   92.28,      32,      58,      70,    7.40,   10.12,  290.84,   16.02,   11.37,   11.50,  292.45,  292.86,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   167.5,   215.5,  994.66,   17.32,   92.11,      32,      58,      70,    7.49,   10.37,  290.91,   16.02,   11.38,   11.51,  292.49,  292.93,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   172.5,   220.5,  994.01,   17.38,   91.83,      32,      58,      70,    7.62,   10.72,  291.03,   16.03,   11.40,   11.53,  292.55,  293.05,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   177.5,   225.5,  993.36,   17.44,   91.54,      32,      58,      70,    7.74,   11.05,  291.14,   16.05,   11.41,   11.54,  292.61,  293.17,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   182.5,   230.5,  992.96,   17.49,   91.34,      32,      58,      70,    7.84,   11.07,  291.22,   16.06,   11.43,   11.56,  292.66,  293.25,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   187.5,   235.5,  992.36,   17.56,   91.05,      32,      58,      70,    7.97,   11.11,  291.34,   16.08,   11.45,   11.58,  292.74,  293.38,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   192.5,   240.5,  991.74,   17.63,   90.75,      32,      58,      70,    8.11,   11.25,  291.47,   16.10,   11.47,   11.60,  292.81,  293.51,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   197.5,   245.5,  991.30,   17.68,   90.56,      32,      58,      70,    8.20,   11.37,  291.55,   16.11,   11.48,   11.62,  292.86,  293.60,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   202.5,   250.5,  990.76,   17.72,   90.37,      32,      58,      70,    8.29,   11.49,  291.65,   16.13,   11.50,   11.63,  292.91,  293.69,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   207.5,   255.5,  989.97,   17.80,   90.10,      34,      65,      76,    8.62,   11.85,  291.79,   16.15,   11.53,   11.66,  292.99,  293.84,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   212.5,   260.5,  989.44,   17.86,   89.85,      40,      85,      92,    8.81,   11.96,  291.90,   16.17,   11.55,   11.68,  293.06,  293.95,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   217.5,   265.5,  988.84,   17.91,   89.69,      40,      85,      92,    9.05,   11.96,  291.99,   16.19,   11.57,   11.70,  293.11,  294.05,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
