     (m),     (m),   (hPa),    (°C),     (%),(ug/m^3),(ug/m^3),(ug/m^3),   (m/s),     (°),     (K),    (°C),  (g/kg),  (g/kg),     (K),     (K),   (ppb),   (ppm),   (ppb),   (ppb),   (ppm),   (ppb),   (ppm)
   222.5,   270.5,  988.33,   17.97,   89.47,      38,      80,      87,    9.16,   11.89,  292.09,   16.21,   11.59,   11.73,  293.17,  294.16,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   227.5,   275.5,  987.57,   18.02,   89.29,      37,      79,      85,    9.26,   11.70,  292.21,   16.23,   11.61,   11.75,  293.23,  294.28,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   232.5,   280.5,  987.09,   18.06,   89.13,      37,      79,      85,    9.30,   11.30,  292.30,   16.24,   11.63,   11.77,  293.28,  294.37,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   237.5,   285.5,  986.52,   18.10,   89.00,      37,      79,      85,    9.31,   11.12,  292.39,   16.26,   11.65,   11.79,  293.32,  294.46,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   242.5,   290.5,  985.99,   18.13,   88.92,      37,      79,      85,    9.32,   11.07,  292.45,   16.27,   11.66,   11.80,  293.35,  294.53,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   247.5,   295.5,  985.46,   18.14,   88.87,      37,      79,      85,    9.33,   11.02,  292.52,   16.28,   11.67,   11.81,  293.37,  294.60,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   252.5,   300.5,  984.73,   18.17,   88.80,      37,      79,      85,    9.34,   10.92,  292.60,   16.29,   11.69,   11.83,  293.39,  294.69,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   257.5,   305.5,  984.10,   18.18,   88.76,      37,      79,      85,    9.35,   10.79,  292.67,   16.29,   11.70,   11.84,  293.41,  294.76,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   262.5,   310.5,  983.69,   18.19,   88.74,      37,      79,      85,    9.36,   10.71,  292.71,   16.30,   11.71,   11.85,  293.42,  294.80,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   267.5,   315.5,  983.05,   18.20,   88.73,      35,      77,      82,    9.33,   10.57,  292.77,   16.30,   11.72,   11.86,  293.43,  294.87,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   272.5,   320.5,  982.39,   18.20,   88.75,      36,      77,      83,    9.30,   10.27,  292.83,   16.31,   11.73,   11.87,  293.43,  294.93,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   277.5,   325.5,  981.98,   18.20,   88.77,      35,      75,      80,    9.22,    9.76,  292.86,   16.31,   11.74,   11.88,  293.43,  294.96,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   282.5,   330.5,  981.33,   18.19,   88.81,      35,      76,      81,    9.13,    9.80,  292.91,   16.31,   11.75,   11.89,  293.43,  295.01,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   287.5,   335.5,  980.69,   18.18,   88.86,      35,      76,      81,    8.91,    8.94,  292.96,   16.31,   11.76,   11.90,  293.42,  295.06,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   292.5,   340.5,  980.25,   18.17,   88.91,      35,      76,      81,    8.82,    8.78,  292.99,   16.31,   11.76,   11.90,  293.41,  295.09,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   297.5,   345.5,  979.62,   18.15,   88.99,      35,      74,      79,    8.61,    8.36,  293.03,   16.31,   11.77,   11.91,  293.40,  295.13,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   302.5,   350.5,  978.84,   18.14,   89.08,      34,      70,      76,    8.42,    7.90,  293.07,   16.31,   11.78,   11.92,  293.38,  295.18,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   307.5,   355.5,  978.26,   18.12,   89.15,      34,      69,      75,    8.32,    7.68,  293.11,   16.30,   11.78,   11.92,  293.36,  295.22,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   312.5,   360.5,  977.83,   18.11,   89.22,      34,      68,      75,    8.29,    7.61,  293.13,   16.30,   11.78,   11.92,  293.35,  295.24,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   317.5,   365.5,  977.30,   18.08,   89.33,      34,      68,      75,    8.25,    7.49,  293.15,   16.30,   11.79,   11.93,  293.32,  295.26,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   322.5,   370.5,  976.77,   18.05,   89.46,      33,      67,      74,    8.21,    7.37,  293.17,   16.29,   11.79,   11.93,  293.30,  295.28,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   327.5,   375.5,  976.23,   18.02,   89.58,      33,      66,      74,    8.17,    7.25,  293.18,   16.28,   11.79,   11.93,  293.27,  295.29,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   332.5,   380.5,  975.57,   17.99,   89.71,      33,      65,      74,    8.13,    7.13,  293.21,   16.28,   11.79,   11.93,  293.24,  295.32,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   337.5,   385.5,  974.95,   17.97,   89.80,      33,      65,      74,    7.91,    6.11,  293.24,   16.27,   11.80,   11.94,  293.22,  295.35,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   342.5,   390.5,  974.51,   17.94,   89.94,      33,      65,      74,    7.70,    5.73,  293.25,   16.26,   11.80,   11.94,  293.19,  295.36,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   347.5,   395.5,  974.05,   17.91,   90.07,      33,      65,      74,    7.53,    5.44,  293.26,   16.26,   11.80,   11.94,  293.15,  295.37,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   352.5,   400.5,  973.63,   17.89,   90.16,      33,      65,      74,    7.44,    5.28,  293.27,   16.25,   11.80,   11.94,  293.13,  295.38,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   357.5,   405.5,  973.08,   17.86,   90.26,      33,      65,      74,    7.34,    5.11,  293.29,   16.24,   11.80,   11.94,  293.11,  295.41,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   362.5,   410.5,  972.24,   17.83,   90.39,      32,      62,      72,    6.96,    4.32,  293.33,   16.24,   11.80,   11.94,  293.08,  295.45,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   367.5,   415.5,  971.82,   17.80,   90.53,      28,      52,      65,    6.71,    3.27,  293.34,   16.23,   11.80,   11.94,  293.04,  295.45,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   372.5,   420.5,  971.17,   17.77,   90.66,      28,      52,      65,    6.64,    3.25,  293.36,   16.22,   11.80,   11.94,  293.01,  295.48,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   377.5,   425.5,  970.43,   17.74,   90.79,      28,      52,      65,    6.58,    3.22,  293.40,   16.21,   11.81,   11.95,  292.98,  295.51,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   382.5,   430.5,  969.95,   17.72,   90.87,      28,      51,      65,    6.53,    3.21,  293.42,   16.21,   11.81,   11.95,  292.97,  295.53,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   387.5,   435.5,  969.46,   17.70,   90.96,      28,      51,      65,    6.49,    3.19,  293.44,   16.21,   11.81,   11.95,  292.95,  295.56,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   392.5,   440.5,  968.98,   17.69,   91.04,      28,      51,      65,    6.44,    3.17,  293.47,   16.20,   11.82,   11.96,  292.93,  295.58,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   397.5,   445.5,  968.32,   17.66,   91.16,      28,      51,      64,    6.26,    2.98,  293.50,   16.20,   11.82,   11.96,  292.91,  295.62,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   402.5,   450.5,  967.69,   17.64,   91.27,      28,      51,      64,    5.96,    2.25,  293.53,   16.20,   11.83,   11.97,  292.89,  295.65,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   407.5,   455.5,  967.26,   17.62,   91.35,      28,      51,      64,    5.78,    1.62,  293.56,   16.20,   11.83,   11.97,  292.87,  295.68,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   412.5,   460.5,  966.63,   17.61,   91.46,      28,      51,      64,    5.70,    1.54,  293.59,   16.20,   11.84,   11.98,  292.86,  295.71,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   417.5,   465.5,  966.01,   17.59,   91.57,      28,      51,      64,    5.62,    1.45,  293.63,   16.20,   11.85,   11.99,  292.84,  295.75,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   422.5,   470.5,  965.59,   17.58,   91.64,      28,      51,      64,    5.57,    1.39,  293.65,   16.20,   11.85,   12.00,  292.83,  295.78,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   427.5,   475.5,  964.97,   17.56,   91.74,      28,      51,      64,    5.48,    1.30,  293.69,   16.20,   11.86,   12.01,  292.82,  295.82,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   432.5,   480.5,  964.35,   17.55,   91.84,      28,      51,      64,    5.40,    1.19,  293.73,   16.20,   11.87,   12.02,  292.80,  295.86,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   437.5,   485.5,  963.73,   17.53,   91.95,      28,      51,      64,    5.20,    1.18,  293.77,   16.21,   11.89,   12.03,  292.79,  295.90,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   442.5,   490.5,  963.11,   17.52,   92.05,      28,      51,      64,    5.00,    1.16,  293.81,   16.21,   11.90,   12.04,  292.78,  295.94,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   447.5,   495.5,  962.70,   17.51,   92.12,      28,      51,      64,    4.85,    0.60,  293.84,   16.22,   11.90,   12.05,  292.77,  295.97,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   452.5,   500.5,  962.09,   17.50,   92.23,      28,      51,      64,    4.63,  359.61,  293.88,   16.22,   11.92,   12.06,  292.76,  296.01,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   457.5,   505.5,  961.48,   17.48,   92.35,      28,      51,      64,    4.43,  357.93,  293.92,   16.23,   11.93,   12.07,  292.75,  296.06,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   462.5,   510.5,  961.06,   17.47,   92.43,      28,      51,      64,    4.32,  356.48,  293.94,   16.23,   11.94,   12.08,  292.74,  296.08,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   467.5,   515.5,  960.62,   17.46,   92.51,      28,      51,      64,    4.20,  354.87,  293.97,   16.23,   11.94,   12.09,  292.73,  296.11,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   472.5,   520.5,  960.12,   17.45,   92.59,      26,      48,      60,    4.13,  353.89,  294.00,   16.24,   11.95,   12.10,  292.72,  296.15,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   477.5,   525.5,  959.57,   17.44,   92.68,      25,      45,      56,    4.06,  352.83,  294.04,   16.24,   11.96,   12.11,  292.71,  296.19,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   482.5,   530.5,  958.81,   17.42,   92.81,      23,      40,      51,    3.94,  351.09,  294.09,   16.24,   11.97,   12.12,  292.69,  296.24,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   487.5,   535.5,  958.19,   17.40,   92.99,      22,      39,      49,    3.58,  346.93,  294.12,   16.25,   11.98,   12.13,  292.67,  296.27,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   492.5,   540.5,  957.46,   17.37,   93.12,      22,      39,      49,    3.14,  341.15,  294.16,   16.25,   12.00,   12.14,  292.65,  296.31,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   497.5,   545.5,  957.10,   17.36,   93.22,      22,      39,      49,    3.00,  337.33,  294.18,   16.25,   12.00,   12.15,  292.64,  296.33,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   502.5,   550.5,  956.76,   17.35,   93.31,      22,      39,      49,    2.86,  332.73,  294.19,   16.25,   12.01,   12.15,  292.62,  296.35,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   507.5,   555.5,  956.17,   17.33,   93.40,      22,      39,      49,    2.61,  318.10,  294.23,   16.26,   12.02,   12.16,  292.61,  296.39,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   512.5,   560.5,  955.45,   17.31,   93.54,      22,      39,      49,    2.50,  312.37,  294.27,   16.26,   12.03,   12.17,  292.59,  296.43,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   517.5,   565.5,  954.84,   17.29,   93.67,      22,      39,      49,    2.40,  305.63,  294.31,   16.26,   12.04,   12.18,  292.57,  296.47,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   522.5,   570.5,  954.42,   17.28,   93.76,      22,      39,      49,    2.31,  300.15,  294.33,   16.26,   12.04,   12.19,  292.56,  296.49,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   527.5,   575.5,  953.81,   17.26,   93.89,      22,      39,      49,    2.18,  290.06,  294.36,   16.27,   12.05,   12.20,  292.54,  296.53,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   532.5,   580.5,  953.26,   17.24,   94.02,      22,      39,      49,    2.27,  259.47,  294.39,   16.27,   12.06,   12.21,  292.53,  296.56,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   537.5,   585.5,  952.65,   17.22,   94.15,      26,      48,      60,    2.37,  240.78,  294.43,   16.27,   12.07,   12.22,  292.51,  296.60,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   542.5,   590.5,  952.03,   17.21,   94.28,      28,      51,      64,    2.50,  229.46,  294.47,   16.28,   12.08,   12.23,  292.50,  296.64,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   547.5,   595.5,  951.62,   17.19,   94.37,      28,      51,      64,    2.59,  224.42,  294.49,   16.28,   12.09,   12.24,  292.49,  296.66,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   552.5,   600.5,  951.02,   17.18,   94.50,      28,      51,      64,    2.73,  218.51,  294.53,   16.28,   12.10,   12.25,  292.47,  296.70,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   557.5,   605.5,  950.42,   17.16,   94.63,      28,      51,      64,    2.88,  214.47,  294.56,   16.29,   12.11,   12.26,  292.45,  296.74,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   562.5,   610.5,  949.84,   17.14,   94.77,      28,      51,      64,    3.09,  211.33,  294.59,   16.29,   12.12,   12.27,  292.43,  296.77,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   567.5,   615.5,  949.26,   17.12,   94.91,      28,      51,      64,    3.26,  210.27,  294.62,   16.29,   12.13,   12.28,  292.41,  296.80,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   572.5,   620.5,  948.85,   17.10,   95.00,      28,      51,      64,    3.33,  210.07,  294.64,   16.29,   12.14,   12.29,  292.40,  296.82,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   577.5,   625.5,  948.24,   17.08,   95.15,      28,      51,      64,    3.40,  209.55,  294.67,   16.29,   12.14,   12.29,  292.38,  296.86,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   582.5,   630.5,  947.63,   17.05,   95.29,      29,      52,      65,    3.44,  208.58,  294.70,   16.29,   12.15,   12.30,  292.35,  296.88,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   587.5,   635.5,  947.02,   17.02,   95.44,      30,      52,      66,    3.47,  207.65,  294.73,   16.29,   12.16,   12.31,  292.32,  296.91,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   592.5,   640.5,  946.41,   16.99,   95.60,      30,      53,      66,    3.50,  206.75,  294.75,   16.28,   12.16,   12.31,  292.29,  296.93,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   597.5,   645.5,  946.00,   16.97,   95.70,      31,      53,      67,    3.52,  206.17,  294.76,   16.28,   12.16,   12.31,  292.27,  296.95,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   602.5,   650.5,  945.42,   16.93,   95.85,      30,      52,      66,    3.58,  205.48,  294.78,   16.27,   12.16,   12.31,  292.24,  296.96,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   607.5,   655.5,  944.73,   16.90,   95.99,      29,      52,      66,    3.65,  204.84,  294.80,   16.25,   12.16,   12.31,  292.20,  296.99,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   612.5,   660.5,  944.11,   16.87,   96.08,      29,      52,      66,    3.76,  204.03,  294.83,   16.24,   12.16,   12.31,  292.17,  297.02,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   617.5,   665.5,  943.78,   16.85,   96.17,      29,      52,      66,    3.77,  205.07,  294.84,   16.23,   12.15,   12.30,  292.15,  297.02,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
