     (m),     (m),   (hPa),    (°C),     (%),(ug/m^3),(ug/m^3),(ug/m^3),   (m/s),     (°),     (K),    (°C),  (g/kg),  (g/kg),     (K),     (K),   (ppb),   (ppm),   (ppb),   (ppb),   (ppm),   (ppb),   (ppm)
     agl,     asl,       P,       T,      RH,     PM1,    PM25,    PM10,      ws,      wd,   theta,      Td,       q,    mixR,      Tv,  thetav,      O3,      CO,     SO2,     NO2,     NH3,     H2S,    TVOC
   132.5,   150.5, 1000.35,   19.31,   92.73,      30,      49,      61,    5.91,    4.06,  292.43,   18.10,   12.91,   13.08,  294.77,  294.74,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   137.5,   155.5,  999.74,   19.32,   92.48,      28,      47,      59,    5.93,    4.34,  292.50,   18.07,   12.89,   13.06,  294.78,  294.80,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   142.5,   160.5,  999.12,   19.34,   92.23,      27,      46,      57,    5.94,    4.55,  292.56,   18.04,   12.88,   13.05,  294.79,  294.86,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   147.5,   165.5,  998.49,   19.35,   91.97,      27,      46,      58,    5.94,    4.65,  292.63,   18.01,   12.86,   13.03,  294.80,  294.93,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   152.5,   170.5,  998.08,   19.36,   91.80,      27,      46,      58,    5.93,    4.71,  292.67,   17.99,   12.85,   13.02,  294.81,  294.97,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   157.5,   175.5,  997.50,   19.38,   91.55,      27,      46,      58,    5.93,    5.02,  292.74,   17.96,   12.83,   13.00,  294.82,  295.03,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   162.5,   180.5,  996.80,   19.39,   91.30,      27,      46,      58,    5.94,    5.33,  292.81,   17.94,   12.82,   12.99,  294.83,  295.10,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   167.5,   185.5,  996.18,   19.40,   91.14,      27,      46,      58,    5.92,    5.58,  292.87,   17.92,   12.81,   12.98,  294.84,  295.16,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   172.5,   190.5,  995.72,   19.41,   90.91,      27,      46,      58,    5.91,    5.74,  292.92,   17.89,   12.80,   12.96,  294.85,  295.21,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   177.5,   195.5,  995.01,   19.43,   90.68,      27,      46,      58,    5.89,    5.88,  292.99,   17.86,   12.78,   12.95,  294.86,  295.28,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   182.5,   200.5,  994.50,   19.44,   90.48,      27,      46,      58,    5.87,    6.36,  293.05,   17.83,   12.77,   12.93,  294.86,  295.33,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   187.5,   205.5,  993.78,   19.44,   90.29,      26,      44,      55,    5.84,    6.75,  293.11,   17.81,   12.76,   12.92,  294.87,  295.40,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   192.5,   210.5,  993.31,   19.45,   90.12,      26,      44,      55,    5.83,    7.00,  293.16,   17.78,   12.74,   12.91,  294.87,  295.44,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   197.5,   215.5,  992.53,   19.45,   89.96,      26,      44,      55,    5.79,    7.56,  293.22,   17.75,   12.73,   12.89,  294.87,  295.50,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   202.5,   220.5,  992.03,   19.44,   89.87,      26,      44,      55,    5.78,    7.62,  293.26,   17.74,   12.72,   12.89,  294.87,  295.54,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   207.5,   225.5,  991.63,   19.44,   89.79,      26,      44,      55,    5.77,    7.67,  293.30,   17.72,   12.71,   12.88,  294.86,  295.57,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   212.5,   230.5,  991.05,   19.43,   89.69,      26,      44,      55,    5.76,    7.80,  293.34,   17.69,   12.70,   12.86,  294.85,  295.61,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   217.5,   235.5,  990.44,   19.42,   89.61,      26,      44,      55,    5.76,    8.03,  293.38,   17.67,   12.69,   12.85,  294.84,  295.65,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   222.5,   240.5,  990.03,   19.41,   89.56,      26,      44,      55,    5.76,    8.17,  293.40,   17.65,   12.68,   12.84,  294.83,  295.67,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   227.5,   245.5,  989.44,   19.40,   89.51,      26,      44,      55,    5.74,    8.01,  293.44,   17.62,   12.67,   12.83,  294.81,  295.70,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   232.5,   250.5,  988.86,   19.38,   89.47,      26,      44,      55,    5.73,    7.84,  293.47,   17.60,   12.65,   12.82,  294.79,  295.73,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   237.5,   255.5,  988.25,   19.36,   89.44,      25,      43,      53,    5.71,    8.42,  293.50,   17.58,   12.64,   12.80,  294.77,  295.76,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   242.5,   260.5,  987.65,   19.34,   89.42,      22,      39,      48,    5.69,    8.73,  293.53,   17.55,   12.63,   12.79,  294.74,  295.79,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   247.5,   265.5,  987.09,   19.32,   89.41,      22,      39,      47,    5.65,    9.36,  293.56,   17.53,   12.62,   12.78,  294.72,  295.82,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   252.5,   270.5,  986.48,   19.30,   89.42,      22,      38,      45,    5.62,    9.88,  293.59,   17.51,   12.61,   12.77,  294.69,  295.84,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   257.5,   275.5,  985.89,   19.27,   89.42,      22,      38,      45,    5.53,   10.13,  293.61,   17.49,   12.60,   12.76,  294.67,  295.87,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   262.5,   280.5,  985.30,   19.25,   89.44,      22,      38,      45,    5.48,   10.38,  293.64,   17.47,   12.59,   12.75,  294.65,  295.90,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   267.5,   285.5,  984.74,   19.23,   89.46,      22,      38,      45,    5.42,   10.66,  293.66,   17.45,   12.58,   12.74,  294.62,  295.92,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   272.5,   290.5,  984.14,   19.20,   89.48,      22,      38,      45,    5.40,   10.70,  293.69,   17.43,   12.58,   12.74,  294.59,  295.94,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   277.5,   295.5,  983.74,   19.19,   89.50,      22,      38,      45,    5.38,   10.73,  293.71,   17.41,   12.57,   12.73,  294.58,  295.96,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   282.5,   300.5,  983.15,   19.16,   89.53,      22,      38,      45,    5.34,   10.75,  293.74,   17.40,   12.56,   12.72,  294.55,  295.99,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   287.5,   305.5,  982.45,   19.14,   89.56,      22,      38,      45,    5.30,   10.77,  293.77,   17.38,   12.56,   12.72,  294.53,  296.02,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   292.5,   310.5,  981.85,   19.12,   89.58,      17,      35,      44,    5.24,   11.26,  293.80,   17.36,   12.56,   12.71,  294.51,  296.05,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   297.5,   315.5,  981.35,   19.09,   89.62,      17,      35,      44,    5.18,   11.08,  293.82,   17.34,   12.55,   12.71,  294.48,  296.07,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   302.5,   320.5,  980.65,   19.07,   89.67,      17,      36,      45,    5.09,   11.16,  293.85,   17.33,   12.54,   12.70,  294.45,  296.10,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   307.5,   325.5,  980.16,   19.04,   89.72,      16,      35,      45,    5.03,   11.22,  293.87,   17.31,   12.53,   12.69,  294.42,  296.11,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   312.5,   330.5,  979.46,   19.01,   89.77,      17,      34,      42,    4.94,   10.73,  293.90,   17.29,   12.53,   12.68,  294.39,  296.14,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   317.5,   335.5,  979.02,   18.98,   89.82,      17,      33,      40,    4.89,   10.96,  293.91,   17.27,   12.52,   12.67,  294.36,  296.15,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   322.5,   340.5,  978.47,   18.95,   89.88,      18,      33,      40,    4.81,   10.97,  293.92,   17.25,   12.51,   12.67,  294.33,  296.17,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   327.5,   345.5,  977.95,   18.93,   89.93,      18,      33,      40,    4.78,   11.05,  293.95,   17.24,   12.50,   12.66,  294.31,  296.19,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   332.5,   350.5,  977.42,   18.91,   89.97,      18,      33,      40,    4.75,   11.14,  293.97,   17.22,   12.50,   12.66,  294.28,  296.21,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   337.5,   355.5,  976.79,   18.87,   90.04,      18,      33,      40,    4.71,   11.28,  293.99,   17.20,   12.49,   12.65,  294.25,  296.23,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   342.5,   360.5,  976.18,   18.83,   90.14,      18,      33,      40,    4.66,   11.46,  294.00,   17.17,   12.48,   12.64,  294.20,  296.23,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   347.5,   365.5,  975.50,   18.79,   90.23,      18,      33,      40,    4.61,   11.75,  294.02,   17.15,   12.47,   12.63,  294.16,  296.26,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   352.5,   370.5,  974.98,   18.77,   90.28,      18,      33,      40,    4.59,   11.83,  294.04,   17.14,   12.46,   12.62,  294.13,  296.27,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   357.5,   375.5,  974.52,   18.74,   90.34,      18,      33,      40,    4.56,   11.90,  294.05,   17.12,   12.46,   12.62,  294.11,  296.29,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   362.5,   380.5,  973.93,   18.70,   90.44,      18,      33,      40,    4.50,   12.04,  294.06,   17.10,   12.45,   12.60,  294.06,  296.30,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   367.5,   385.5,  973.34,   18.66,   90.54,      18,      33,      40,    4.45,   12.16,  294.07,   17.08,   12.44,   12.59,  294.02,  296.30,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   372.5,   390.5,  972.79,   18.61,   90.64,      15,      32,      41,    4.41,   12.71,  294.08,   17.05,   12.42,   12.58,  293.98,  296.30,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   377.5,   395.5,  972.22,   18.57,   90.75,      15,      32,      41,    4.40,   12.79,  294.08,   17.03,   12.41,   12.57,  293.93,  296.31,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   382.5,   400.5,  971.82,   18.54,   90.82,      15,      32,      41,    4.38,   12.84,  294.09,   17.01,   12.40,   12.56,  293.90,  296.31,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   387.5,   405.5,  971.18,   18.50,   90.94,      14,      31,      39,    4.37,   13.03,  294.10,   16.99,   12.39,   12.55,  293.85,  296.32,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   392.5,   410.5,  970.54,   18.45,   91.05,      14,      30,      37,    4.35,   13.22,  294.11,   16.96,   12.38,   12.54,  293.80,  296.33,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   397.5,   415.5,  970.15,   18.42,   91.13,      14,      30,      36,    4.34,   13.22,  294.11,   16.94,   12.37,   12.53,  293.77,  296.33,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   402.5,   420.5,  969.51,   18.37,   91.26,      13,      29,      35,    4.33,   13.22,  294.12,   16.92,   12.36,   12.52,  293.72,  296.33,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   407.5,   425.5,  968.66,   18.33,   91.38,      13,      29,      35,    4.32,   13.74,  294.14,   16.89,   12.35,   12.51,  293.67,  296.36,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   412.5,   430.5,  968.34,   18.29,   91.46,      13,      29,      35,    4.30,   13.80,  294.14,   16.88,   12.34,   12.50,  293.64,  296.35,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   417.5,   435.5,  968.03,   18.26,   91.55,      13,      29,      35,    4.29,   13.86,  294.13,   16.86,   12.33,   12.49,  293.61,  296.35,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   422.5,   440.5,  967.31,   18.22,   91.68,      14,      28,      32,    4.25,   13.91,  294.15,   16.84,   12.32,   12.48,  293.56,  296.36,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   427.5,   445.5,  966.74,   18.15,   91.85,      13,      27,      30,    4.21,   13.80,  294.13,   16.80,   12.31,   12.46,  293.49,  296.34,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   432.5,   450.5,  966.17,   18.11,   91.98,      12,      26,      28,    4.20,   14.03,  294.14,   16.78,   12.30,   12.45,  293.44,  296.34,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   437.5,   455.5,  965.66,   18.08,   92.07,      12,      25,      26,    4.19,   14.18,  294.15,   16.77,   12.29,   12.44,  293.41,  296.36,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   442.5,   460.5,  965.01,   18.05,   92.16,      12,      25,      26,    4.16,   14.05,  294.18,   16.75,   12.29,   12.44,  293.38,  296.38,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
