Height, Horizontal_Wind_Direction, Horizontal_Wind_Speed, Vertical_Wind_Speed
3104, 275.43, 14.56, 0.6
3121, 250.01, 54.43, -18.57
3138, 288.15, 17.85, 1.54
3156, 342.21, 47.72, 10.25
3173, 290.26, 16.63, 2.78
3190, 274.62, 16.51, 0.38
3208, 284.04, 16.43, 0.89
3225, 198.36, 49.27, -9.23
3243, 283.24, 18.92, 1.33
3260, 275.89, 17.74, 1.38
3277, 294.5, 17.8, 2.9
3295, 276.65, 17.42, 1.63
3312, 277.1, 17.53, 1.45
3330, 341.08, 50.74, 11.86
3347, 267.38, 17.24, 1.89
3364, 270.31, 18.42, 1.03
3382, 277.07, 18.39, 2.11
3399, 275.88, 15.86, 2.27
3416, 273.82, 16.24, 2.37
3434, 274.91, 16.69, 2.31
3451, 263.79, 17.75, 1.95
3469, 200.78, 47.33, -7.77
3486, 268.93, 15.86, 2.51
3503, 198.95, 48.3, -7.85
3521, 262.47, 15.39, 1.8
3538, 194.51, 41.85, -4.51
3556, 248.62, 52.92, -15.61
3573, 257.11, 13.91, 2.09
3590, 263.49, 14.76, 1.84
3608, 257.06, 16.27, 1.26
3625, 239.71, 17.08, 0.73
3643, 256.66, 18.14, 0.13
3660, 272.49, 15.87, 2.24
3677, 198.5, 48.38, -8.02
3695, 265.6, 15.39, 1.89
3712, 268.18, 15.52, 2.03
3729, 259.11, 15.63, 1.17
3747, 270.55, 15.43, 1.11
3764, 258.63, 15.48, -0.17
3782, 274.55, 14.28, 0.37
3799, 263.57, 14.07, 0.17
3816, 343.08, 48.05, 11.54
3834, 263.49, 14.76, 2.22
3851, 266.29, 14.44, 2.01
3869, 196.53, 51.55, -8.55
3886, 196.96, 51.72, -8.35
3903, 255.95, 15.2, 1.65
3921, 258.31, 16.28, 2.46
3938, 255.05, 16.41, 2.66
3955, 312.73, 23.21, -4.23
3973, 289.99, 15.7, 19.88
3990, 232.25, 18.33, 1.04
4008, 36.52, 48.14, 7.56
4025, 197.2, 46.43, 13.17
4042, 349.81, 61.72, -4.71
4060, 335.33, 49.24, -15.42
4077, 283.87, 56.47, -14.28
4095, 347.25, 69.55, -8.73
4112, 101.42, 59.41, 33.58
4129, 163.63, 40.53, 35.01
4147, 178.56, 13.59, 29.25
4164, 171.63, 66.22, 33.91
4181, 150.48, 5.88, -23.39
4199, 167.4, 40.65, -11.91
4216, 295.28, 92.31, -40.23
4234, 236.9, 78.87, 3.53
4251, 154.86, 38.33, 8.7
4268, 220.89, 19.01, -5.25
4286, 89.82, 46.64, 39.23
4303, 123.97, 93.65, 10.75
4321, 354.12, 59.13, 1.54
4338, 303.02, 19.42, 13.56
4355, 304.41, 51.05, -27.39
4373, 119.16, 63.95, 15.34
4390, 345.07, 31.43, 57.14
4408, 53.3, 121.97, -18.79
4425, 187.34, 42.04, -18.9
4442, 65.28, 125.12, -3.73
4460, 277.6, 112.34, -10.77
4477, 116.41, 55.88, 23.78
4494, 191.19, 75.57, 24.22
4512, 305.95, 41.92, 15.15
4529, 354.66, 46.72, -77.24
4547, 219.3, 127.08, 16.52
4564, 245.52, 106.42, -15.56
4581, 240.76, 148.13, 3.03
4599, 160.5, 112.9, 10.98
4616, 345.7, 63.5, -54.87
4634, 264.8, 50.0, -26.07
4651, 254.88, 103.6, 7.3
4668, 323.68, 75.57, 5.05
4686, 122.94, 81.57, 21.23
4703, 264.81, 39.21, -40.2
4720, 42.89, 35.07, -14.18
4738, 230.35, 18.82, -10.21
4755, 130.74, 77.31, 2.72
4773, 103.58, 27.45, 31.98
4790, 147.96, 30.37, 12.28
4807, 199.82, 77.44, -8.68
4825, 105.88, 36.34, 2.84
4842, 203.4, 67.63, -31.12
4860, 138.34, 98.89, 0.92
4877, 181.21, 48.55, -27.01
4894, 279.35, 50.29, -3.32
4912, 195.3, 29.09, 62.6
4929, 127.65, 101.22, 10.95
4947, 347.21, 75.87, 9.08
4964, 55.11, 80.97, -5.42
4981, 104.55, 109.14, 16.44
4999, 58.67, 25.65, 12.69
5016, 25.68, 30.7, 20.23
5033, 213.03, 79.15, 53.25
5051, 135.61, 89.34, -57.24
5068, 104.91, 78.26, 34.72
5086, 125.6, 54.21, 1.78
5103, 47.82, 105.5, 7.56
5120, 235.74, 94.08, -4.35
5138, 180.47, 31.06, 24.36
5155, 47.48, 25.56, 15.22
5173, 244.75, 147.34, 1.21
5190, 355.38, 37.09, -0.67
5207, 300.23, 42.73, 32.49
5225, 142.02, 29.79, 29.48
5242, 355.44, 92.24, -17.32
5259, 359.14, 17.08, -10.02
5277, 162.74, 81.9, 13.83
5294, 302.75, 72.79, -2.94
5312, 315.14, 3.26, 22.58
5329, 331.72, 73.95, -3.84
5346, 347.55, 56.16, -12.45
5364, 251.24, 31.07, 12.76
5381, 43.54, 37.62, 10.69
5399, 50.77, 24.98, 25.29
5416, 320.23, 95.42, -31.67
5433, 118.02, 9.85, -34.33
5451, 177.22, 79.1, 0.5
5468, 353.71, 129.15, -28.33
5485, 69.73, 90.34, -8.76
5503, 320.21, 33.57, -42.99
5520, 141.33, 71.5, 5.69
5538, 96.45, 48.22, 55.36
5555, 52.24, 89.07, -21.16
5572, 184.1, 38.2, -26.86
5590, 36.62, 103.34, -4.63
5607, 330.84, 64.04, -16.57
5625, 27.66, 76.03, 21.41
5642, 204.38, 112.57, -13.06
5659, 309.45, 78.94, -40.15
5677, 181.4, 97.89, 29.86
5694, 311.42, 77.08, -45.76
5712, 11.38, 39.77, -15.61
5729, 61.02, 76.51, 10.04
5746, 187.82, 48.25, -9.84
5764, 263.96, 35.07, -4.0
5781, 143.09, 79.78, -11.98
